,Gene_0,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19
0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.0,16.0,34.0,41.0,16.0,10.0,0.0,0.0,0.0,0.0,14.0,0.0,9.0,14.0,1.0,33.0,0.0,0.0,0.0,62.0
3,9.0,16.0,46.0,59.0,12.0,9.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,49.0,1.0,26.0,0.0,0.0,0.0,81.0
4,7.0,16.0,51.0,75.0,11.0,9.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,77.0,1.0,23.0,0.0,0.0,0.0,92.0
5,7.0,16.0,66.0,79.0,10.0,9.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,122.0,1.0,21.0,0.0,0.0,0.0,104.0
6,7.0,15.0,72.0,79.0,9.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,170.0,1.0,19.0,0.0,0.0,0.0,116.0
7,5.0,15.0,75.0,74.0,8.0,8.0,0.0,0.0,0.0,0.0,21.0,0.0,6.0,216.0,1.0,19.0,0.0,0.0,0.0,121.0
8,5.0,13.0,83.0,71.0,8.0,8.0,0.0,0.0,0.0,0.0,17.0,0.0,6.0,258.0,1.0,17.0,0.0,0.0,0.0,126.0
9,5.0,12.0,83.0,64.0,7.0,7.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,284.0,1.0,16.0,0.0,0.0,0.0,129.0
10,5.0,11.0,79.0,57.0,7.0,5.0,0.0,0.0,0.0,0.0,14.0,0.0,5.0,330.0,1.0,15.0,0.0,0.0,0.0,133.0
