,Gene_0,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19
0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9.0,9.0,37.0,9.0,60.0,9.0,0.0,53.0,1.0,13.0,1.0,0.0,0.0,0.0,18.0,19.0,22.0,0.0,60.0,1.0
3,6.0,8.0,56.0,9.0,67.0,7.0,0.0,61.0,2.0,13.0,1.0,0.0,0.0,0.0,25.0,40.0,46.0,3.0,79.0,1.0
4,5.0,8.0,52.0,7.0,59.0,6.0,0.0,55.0,7.0,10.0,1.0,0.0,0.0,0.0,28.0,54.0,56.0,6.0,71.0,1.0
5,4.0,7.0,47.0,7.0,54.0,5.0,0.0,50.0,9.0,13.0,1.0,0.0,0.0,0.0,35.0,53.0,61.0,18.0,61.0,1.0
6,4.0,6.0,45.0,5.0,50.0,5.0,0.0,44.0,9.0,21.0,1.0,0.0,0.0,0.0,42.0,53.0,61.0,22.0,52.0,1.0
7,4.0,6.0,44.0,5.0,43.0,4.0,0.0,39.0,10.0,23.0,1.0,0.0,0.0,0.0,44.0,54.0,56.0,29.0,46.0,1.0
8,3.0,5.0,41.0,4.0,39.0,2.0,0.0,36.0,15.0,26.0,1.0,0.0,0.0,0.0,51.0,44.0,54.0,32.0,38.0,1.0
9,2.0,4.0,36.0,4.0,40.0,2.0,0.0,39.0,15.0,31.0,1.0,0.0,0.0,0.0,54.0,41.0,52.0,32.0,36.0,1.0
10,1.0,4.0,34.0,3.0,40.0,2.0,0.0,32.0,14.0,36.0,1.0,0.0,0.0,0.0,53.0,36.0,54.0,34.0,40.0,1.0
11,1.0,4.0,29.0,3.0,41.0,2.0,0.0,30.0,15.0,36.0,1.0,0.0,0.0,0.0,51.0,37.0,56.0,34.0,45.0,1.0
12,0.0,4.0,32.0,3.0,37.0,2.0,0.0,34.0,17.0,39.0,1.0,0.0,0.0,0.0,51.0,35.0,53.0,35.0,45.0,1.0
13,0.0,2.0,31.0,2.0,35.0,2.0,0.0,36.0,18.0,41.0,1.0,0.0,0.0,0.0,55.0,34.0,51.0,36.0,46.0,1.0
14,0.0,2.0,27.0,2.0,32.0,1.0,0.0,34.0,16.0,39.0,1.0,0.0,0.0,0.0,50.0,39.0,53.0,32.0,49.0,1.0
15,0.0,1.0,21.0,1.0,28.0,1.0,0.0,33.0,17.0,37.0,1.0,0.0,0.0,0.0,55.0,39.0,48.0,31.0,41.0,1.0
16,0.0,1.0,18.0,1.0,30.0,1.0,0.0,35.0,17.0,41.0,1.0,0.0,0.0,0.0,51.0,40.0,47.0,28.0,43.0,1.0
17,0.0,0.0,21.0,1.0,25.0,1.0,0.0,36.0,19.0,38.0,1.0,0.0,0.0,0.0,50.0,35.0,47.0,31.0,41.0,1.0
18,0.0,0.0,23.0,1.0,22.0,1.0,0.0,36.0,20.0,40.0,1.0,0.0,0.0,0.0,54.0,35.0,42.0,30.0,43.0,0.0
