,Gene_0,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19
0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,64.0,22.0,29.0,21.0,21.0,21.0,15.0,10.0,17.0,10.0,13.0,9.0,19.0,20.0,16.0,17.0,11.0,14.0,17.0,8.0
3,62.0,24.0,33.0,23.0,25.0,25.0,18.0,11.0,21.0,11.0,21.0,7.0,19.0,22.0,18.0,17.0,12.0,15.0,19.0,16.0
4,66.0,23.0,32.0,29.0,26.0,22.0,17.0,14.0,21.0,15.0,24.0,11.0,16.0,22.0,18.0,18.0,12.0,17.0,20.0,18.0
5,68.0,23.0,32.0,23.0,26.0,24.0,19.0,18.0,20.0,13.0,25.0,13.0,15.0,23.0,19.0,17.0,14.0,15.0,21.0,17.0
6,67.0,27.0,31.0,23.0,22.0,25.0,20.0,22.0,21.0,13.0,25.0,15.0,13.0,20.0,20.0,15.0,11.0,14.0,21.0,18.0
7,67.0,27.0,28.0,23.0,19.0,22.0,21.0,25.0,25.0,16.0,25.0,18.0,17.0,21.0,17.0,14.0,11.0,14.0,22.0,19.0
8,65.0,27.0,26.0,23.0,19.0,21.0,19.0,27.0,28.0,16.0,21.0,17.0,19.0,21.0,14.0,15.0,11.0,13.0,16.0,20.0
9,67.0,27.0,26.0,22.0,17.0,20.0,17.0,24.0,30.0,14.0,19.0,17.0,20.0,22.0,13.0,13.0,12.0,15.0,16.0,21.0
10,67.0,23.0,27.0,25.0,19.0,19.0,19.0,23.0,27.0,15.0,16.0,17.0,21.0,19.0,17.0,15.0,11.0,16.0,18.0,24.0
11,66.0,26.0,26.0,26.0,18.0,21.0,21.0,25.0,27.0,15.0,23.0,19.0,24.0,16.0,13.0,16.0,9.0,14.0,15.0,22.0
12,66.0,27.0,25.0,27.0,17.0,20.0,18.0,22.0,24.0,14.0,24.0,23.0,26.0,17.0,14.0,22.0,10.0,15.0,15.0,18.0
13,65.0,25.0,30.0,28.0,16.0,19.0,14.0,24.0,23.0,13.0,22.0,21.0,27.0,18.0,13.0,23.0,13.0,17.0,14.0,20.0
14,65.0,26.0,31.0,25.0,13.0,20.0,12.0,25.0,20.0,14.0,25.0,20.0,28.0,23.0,17.0,20.0,14.0,17.0,14.0,16.0
15,69.0,29.0,27.0,23.0,14.0,18.0,13.0,26.0,23.0,11.0,25.0,17.0,24.0,24.0,17.0,21.0,15.0,19.0,15.0,15.0
16,65.0,28.0,23.0,24.0,17.0,19.0,15.0,25.0,22.0,12.0,23.0,16.0,25.0,24.0,18.0,21.0,16.0,24.0,15.0,17.0
17,64.0,24.0,19.0,23.0,18.0,23.0,16.0,25.0,19.0,13.0,26.0,16.0,27.0,22.0,16.0,22.0,13.0,27.0,14.0,19.0
18,63.0,23.0,21.0,22.0,22.0,20.0,17.0,21.0,19.0,14.0,25.0,16.0,26.0,21.0,16.0,24.0,14.0,25.0,12.0,21.0
19,61.0,23.0,20.0,21.0,21.0,19.0,18.0,15.0,19.0,16.0,25.0,15.0,27.0,22.0,14.0,23.0,13.0,26.0,12.0,23.0
20,65.0,20.0,22.0,24.0,25.0,20.0,19.0,18.0,19.0,20.0,27.0,15.0,28.0,24.0,13.0,21.0,13.0,27.0,16.0,25.0
21,66.0,19.0,22.0,23.0,23.0,17.0,16.0,23.0,15.0,20.0,32.0,17.0,25.0,19.0,13.0,21.0,13.0,26.0,15.0,24.0
22,68.0,19.0,23.0,22.0,24.0,17.0,21.0,20.0,16.0,21.0,26.0,17.0,25.0,20.0,13.0,23.0,13.0,25.0,14.0,27.0
23,64.0,19.0,24.0,20.0,26.0,18.0,19.0,23.0,11.0,23.0,26.0,19.0,23.0,22.0,12.0,23.0,13.0,23.0,13.0,24.0
24,64.0,19.0,27.0,22.0,23.0,13.0,22.0,21.0,16.0,20.0,27.0,21.0,21.0,21.0,16.0,25.0,17.0,22.0,13.0,29.0
25,60.0,20.0,26.0,24.0,23.0,13.0,22.0,21.0,17.0,18.0,26.0,20.0,22.0,24.0,18.0,22.0,15.0,24.0,16.0,29.0
26,65.0,17.0,22.0,22.0,24.0,16.0,24.0,20.0,18.0,20.0,29.0,19.0,21.0,21.0,14.0,23.0,16.0,25.0,16.0,26.0
27,65.0,16.0,22.0,22.0,26.0,14.0,25.0,20.0,18.0,17.0,28.0,19.0,24.0,21.0,17.0,25.0,15.0,26.0,16.0,23.0
28,65.0,12.0,24.0,19.0,29.0,13.0,21.0,18.0,18.0,15.0,29.0,19.0,23.0,23.0,16.0,26.0,15.0,21.0,17.0,21.0
29,66.0,14.0,23.0,20.0,31.0,11.0,19.0,15.0,16.0,20.0,26.0,19.0,24.0,19.0,13.0,30.0,17.0,16.0,17.0,21.0
30,66.0,17.0,22.0,23.0,31.0,14.0,19.0,14.0,16.0,21.0,24.0,18.0,21.0,22.0,14.0,28.0,21.0,18.0,20.0,14.0
31,67.0,14.0,21.0,22.0,31.0,15.0,23.0,15.0,18.0,23.0,26.0,18.0,22.0,17.0,15.0,28.0,21.0,18.0,24.0,11.0
32,63.0,12.0,24.0,15.0,31.0,14.0,24.0,13.0,18.0,24.0,26.0,21.0,21.0,21.0,14.0,29.0,20.0,20.0,23.0,12.0
33,61.0,10.0,25.0,15.0,33.0,12.0,27.0,11.0,18.0,20.0,27.0,20.0,21.0,20.0,13.0,31.0,20.0,20.0,23.0,14.0
