,Gene_0,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19
0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,92.0,45.0,31.0,14.0,9.0,96.0,11.0,43.0,33.0,0.0,32.0,20.0,22.0,0.0,1.0,29.0,30.0,0.0,82.0,0.0
3,143.0,124.0,88.0,61.0,8.0,173.0,11.0,52.0,110.0,0.0,40.0,19.0,19.0,1.0,1.0,38.0,82.0,0.0,170.0,0.0
4,136.0,198.0,161.0,127.0,7.0,251.0,10.0,49.0,164.0,0.0,39.0,19.0,19.0,7.0,1.0,35.0,78.0,0.0,243.0,0.0
5,121.0,258.0,237.0,201.0,7.0,317.0,10.0,45.0,239.0,0.0,35.0,15.0,18.0,8.0,1.0,32.0,71.0,0.0,308.0,0.0
6,114.0,295.0,305.0,264.0,7.0,397.0,10.0,38.0,284.0,0.0,33.0,14.0,15.0,9.0,1.0,30.0,65.0,0.0,371.0,0.0
7,102.0,334.0,357.0,323.0,6.0,437.0,9.0,35.0,343.0,0.0,29.0,12.0,13.0,11.0,1.0,27.0,60.0,0.0,396.0,0.0
8,94.0,355.0,426.0,379.0,6.0,479.0,7.0,33.0,380.0,0.0,27.0,9.0,12.0,10.0,1.0,25.0,58.0,0.0,448.0,0.0
9,83.0,363.0,478.0,431.0,5.0,529.0,6.0,30.0,435.0,0.0,25.0,7.0,12.0,12.0,1.0,20.0,57.0,0.0,492.0,0.0
10,74.0,392.0,526.0,490.0,4.0,567.0,6.0,29.0,482.0,0.0,26.0,6.0,12.0,15.0,1.0,20.0,53.0,0.0,533.0,0.0
11,64.0,408.0,580.0,540.0,4.0,601.0,6.0,25.0,525.0,0.0,24.0,6.0,8.0,17.0,1.0,19.0,53.0,0.0,567.0,0.0
12,61.0,419.0,624.0,568.0,4.0,641.0,5.0,23.0,541.0,0.0,21.0,6.0,8.0,22.0,1.0,16.0,50.0,0.0,614.0,0.0
13,52.0,426.0,660.0,590.0,3.0,667.0,5.0,21.0,597.0,0.0,19.0,6.0,6.0,25.0,1.0,14.0,45.0,0.0,642.0,0.0
14,49.0,447.0,685.0,640.0,3.0,698.0,5.0,19.0,636.0,0.0,19.0,5.0,5.0,25.0,1.0,14.0,44.0,0.0,670.0,0.0
15,48.0,459.0,688.0,668.0,2.0,740.0,5.0,20.0,672.0,0.0,17.0,5.0,5.0,28.0,1.0,12.0,41.0,0.0,705.0,0.0
16,48.0,465.0,707.0,708.0,2.0,757.0,4.0,18.0,689.0,0.0,17.0,5.0,4.0,29.0,1.0,12.0,37.0,0.0,728.0,0.0
17,43.0,459.0,710.0,725.0,2.0,765.0,4.0,15.0,745.0,0.0,17.0,4.0,4.0,30.0,1.0,11.0,35.0,0.0,763.0,0.0
18,42.0,461.0,723.0,748.0,2.0,781.0,4.0,12.0,798.0,0.0,18.0,3.0,4.0,26.0,1.0,11.0,31.0,0.0,772.0,0.0
19,40.0,455.0,741.0,759.0,2.0,814.0,4.0,10.0,822.0,0.0,18.0,3.0,4.0,27.0,1.0,10.0,29.0,0.0,793.0,0.0
20,37.0,456.0,762.0,786.0,2.0,842.0,4.0,10.0,844.0,0.0,15.0,3.0,3.0,26.0,1.0,9.0,28.0,0.0,816.0,0.0
21,33.0,443.0,783.0,795.0,2.0,871.0,4.0,11.0,874.0,0.0,14.0,3.0,3.0,23.0,1.0,9.0,26.0,0.0,806.0,0.0
22,29.0,435.0,794.0,817.0,2.0,887.0,4.0,12.0,885.0,0.0,16.0,2.0,3.0,28.0,1.0,8.0,25.0,0.0,810.0,0.0
23,27.0,413.0,794.0,811.0,2.0,904.0,3.0,13.0,904.0,0.0,8.0,1.0,3.0,25.0,1.0,6.0,22.0,0.0,821.0,0.0
24,25.0,393.0,808.0,816.0,2.0,899.0,3.0,13.0,902.0,0.0,8.0,1.0,3.0,23.0,1.0,5.0,20.0,0.0,844.0,0.0
25,24.0,379.0,842.0,834.0,2.0,898.0,3.0,13.0,920.0,0.0,8.0,1.0,3.0,24.0,1.0,5.0,15.0,0.0,840.0,0.0
26,22.0,352.0,854.0,849.0,2.0,906.0,3.0,12.0,924.0,0.0,8.0,1.0,3.0,23.0,1.0,5.0,13.0,0.0,867.0,0.0
27,21.0,333.0,849.0,846.0,2.0,924.0,3.0,10.0,947.0,0.0,6.0,1.0,3.0,22.0,1.0,5.0,10.0,0.0,881.0,0.0
28,20.0,322.0,872.0,877.0,2.0,913.0,2.0,10.0,960.0,0.0,7.0,1.0,3.0,20.0,1.0,4.0,8.0,0.0,891.0,0.0
29,20.0,305.0,887.0,890.0,2.0,901.0,2.0,10.0,961.0,0.0,7.0,0.0,3.0,17.0,1.0,4.0,11.0,0.0,892.0,0.0
30,19.0,292.0,875.0,910.0,2.0,929.0,1.0,10.0,962.0,0.0,6.0,0.0,3.0,20.0,1.0,4.0,18.0,0.0,917.0,0.0
