,Gene_0,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19
0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,59.0,49.0,62.0,15.0,9.0,107.0,24.0,1.0,84.0,26.0,0.0,0.0,0.0,0.0,8.0,83.0,0.0,45.0,0.0,0.0
3,54.0,112.0,96.0,24.0,11.0,187.0,22.0,6.0,142.0,74.0,0.0,0.0,0.0,0.0,31.0,162.0,0.0,60.0,0.0,0.0
4,50.0,166.0,143.0,46.0,9.0,210.0,24.0,36.0,201.0,130.0,0.0,0.0,0.0,0.0,56.0,217.0,0.0,62.0,0.0,0.0
5,102.0,238.0,161.0,88.0,11.0,227.0,26.0,99.0,261.0,155.0,0.0,0.0,0.0,0.0,90.0,282.0,0.0,59.0,0.0,0.0
6,172.0,295.0,180.0,143.0,10.0,228.0,25.0,155.0,277.0,192.0,0.0,0.0,0.0,0.0,124.0,362.0,0.0,59.0,0.0,0.0
7,245.0,359.0,204.0,210.0,10.0,216.0,21.0,209.0,322.0,215.0,0.0,0.0,0.0,0.0,146.0,409.0,0.0,55.0,0.0,0.0
8,310.0,418.0,223.0,294.0,12.0,203.0,18.0,254.0,376.0,240.0,0.0,0.0,0.0,0.0,160.0,471.0,0.0,54.0,0.0,0.0
9,352.0,472.0,239.0,357.0,9.0,195.0,19.0,307.0,423.0,257.0,0.0,0.0,0.0,0.0,180.0,506.0,0.0,48.0,0.0,0.0
10,422.0,520.0,266.0,391.0,8.0,178.0,14.0,357.0,479.0,275.0,0.0,0.0,0.0,0.0,213.0,572.0,0.0,45.0,0.0,0.0
11,461.0,574.0,304.0,422.0,8.0,167.0,13.0,414.0,520.0,279.0,0.0,0.0,0.0,0.0,234.0,636.0,0.0,44.0,0.0,0.0
12,526.0,598.0,324.0,480.0,8.0,164.0,13.0,458.0,559.0,296.0,0.0,0.0,0.0,0.0,268.0,684.0,0.0,43.0,0.0,0.0
13,548.0,632.0,357.0,506.0,8.0,155.0,14.0,482.0,583.0,320.0,0.0,0.0,0.0,0.0,286.0,703.0,0.0,42.0,0.0,0.0
14,590.0,662.0,374.0,552.0,6.0,145.0,13.0,543.0,633.0,328.0,0.0,0.0,0.0,0.0,296.0,743.0,0.0,41.0,0.0,0.0
