,Gene_0,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19
0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,91.0,21.0,8.0,54.0,16.0,18.0,3.0,77.0,5.0,0.0,3.0,57.0,49.0,0.0,0.0,0.0,11.0,1.0,75.0,17.0
3,154.0,20.0,9.0,46.0,16.0,16.0,2.0,135.0,4.0,0.0,11.0,78.0,44.0,0.0,0.0,0.0,10.0,1.0,135.0,15.0
4,224.0,15.0,9.0,43.0,21.0,16.0,2.0,204.0,3.0,0.0,16.0,77.0,42.0,0.0,0.0,0.0,8.0,1.0,195.0,16.0
5,292.0,14.0,11.0,41.0,23.0,14.0,1.0,251.0,3.0,0.0,22.0,78.0,39.0,0.0,0.0,0.0,8.0,1.0,259.0,18.0
6,350.0,13.0,10.0,37.0,23.0,13.0,1.0,301.0,3.0,0.0,32.0,79.0,35.0,0.0,0.0,0.0,7.0,1.0,306.0,23.0
7,400.0,12.0,12.0,35.0,26.0,12.0,1.0,348.0,3.0,0.0,48.0,78.0,34.0,0.0,0.0,0.0,6.0,1.0,361.0,30.0
8,443.0,12.0,11.0,33.0,21.0,12.0,1.0,400.0,3.0,0.0,68.0,68.0,28.0,0.0,0.0,0.0,6.0,1.0,399.0,42.0
9,476.0,10.0,10.0,29.0,18.0,12.0,1.0,454.0,2.0,0.0,98.0,64.0,24.0,0.0,0.0,0.0,5.0,1.0,407.0,45.0
10,512.0,10.0,9.0,26.0,18.0,11.0,0.0,502.0,2.0,0.0,134.0,59.0,24.0,0.0,0.0,0.0,5.0,1.0,420.0,56.0
11,547.0,10.0,9.0,24.0,17.0,10.0,0.0,543.0,1.0,0.0,178.0,54.0,23.0,0.0,0.0,0.0,4.0,1.0,416.0,70.0
12,586.0,10.0,8.0,23.0,16.0,10.0,0.0,586.0,1.0,0.0,226.0,52.0,21.0,0.0,0.0,0.0,4.0,1.0,405.0,81.0
13,614.0,10.0,9.0,22.0,13.0,10.0,0.0,622.0,1.0,0.0,263.0,49.0,20.0,0.0,0.0,0.0,4.0,1.0,391.0,86.0
14,645.0,9.0,9.0,19.0,12.0,8.0,0.0,635.0,0.0,0.0,300.0,47.0,19.0,0.0,0.0,23.0,3.0,1.0,364.0,87.0
15,671.0,9.0,9.0,18.0,12.0,6.0,0.0,678.0,0.0,0.0,349.0,43.0,17.0,0.0,0.0,102.0,3.0,1.0,351.0,87.0
16,700.0,9.0,8.0,17.0,11.0,6.0,0.0,710.0,0.0,0.0,378.0,44.0,17.0,0.0,0.0,152.0,3.0,1.0,338.0,80.0
17,736.0,9.0,7.0,16.0,10.0,6.0,0.0,760.0,0.0,0.0,393.0,44.0,15.0,0.0,0.0,198.0,2.0,1.0,338.0,72.0
18,751.0,8.0,7.0,16.0,7.0,6.0,0.0,772.0,0.0,0.0,428.0,42.0,14.0,0.0,0.0,235.0,2.0,1.0,336.0,68.0
19,804.0,8.0,5.0,15.0,6.0,5.0,0.0,785.0,0.0,0.0,434.0,41.0,13.0,0.0,0.0,270.0,2.0,1.0,330.0,64.0
20,824.0,7.0,5.0,14.0,4.0,4.0,0.0,794.0,0.0,0.0,446.0,38.0,12.0,0.0,0.0,301.0,2.0,1.0,340.0,56.0
21,847.0,5.0,5.0,12.0,4.0,4.0,0.0,800.0,0.0,0.0,450.0,39.0,12.0,0.0,0.0,318.0,2.0,1.0,346.0,53.0
22,861.0,5.0,5.0,11.0,4.0,4.0,0.0,804.0,0.0,0.0,468.0,37.0,12.0,0.0,0.0,340.0,2.0,1.0,359.0,50.0
23,892.0,4.0,6.0,10.0,4.0,4.0,0.0,802.0,0.0,0.0,472.0,38.0,11.0,0.0,0.0,355.0,2.0,1.0,362.0,44.0
24,886.0,3.0,5.0,10.0,4.0,3.0,0.0,817.0,0.0,0.0,464.0,36.0,10.0,0.0,0.0,355.0,2.0,1.0,375.0,38.0
25,910.0,3.0,6.0,8.0,4.0,6.0,0.0,832.0,0.0,0.0,464.0,34.0,10.0,0.0,0.0,359.0,6.0,1.0,409.0,35.0
26,910.0,3.0,5.0,7.0,4.0,6.0,0.0,865.0,0.0,0.0,443.0,31.0,9.0,0.0,0.0,371.0,4.0,1.0,417.0,34.0
27,929.0,3.0,3.0,6.0,4.0,6.0,0.0,895.0,0.0,0.0,434.0,25.0,9.0,0.0,0.0,359.0,3.0,1.0,450.0,32.0
28,912.0,3.0,2.0,6.0,3.0,6.0,0.0,891.0,0.0,0.0,431.0,22.0,8.0,0.0,0.0,353.0,3.0,1.0,470.0,32.0
29,898.0,3.0,1.0,6.0,3.0,5.0,0.0,900.0,0.0,0.0,415.0,21.0,7.0,0.0,0.0,346.0,2.0,1.0,492.0,32.0
30,895.0,3.0,1.0,6.0,2.0,4.0,0.0,903.0,0.0,0.0,391.0,20.0,7.0,0.0,0.0,345.0,2.0,1.0,510.0,28.0
31,905.0,3.0,1.0,5.0,2.0,2.0,0.0,915.0,0.0,0.0,376.0,20.0,7.0,0.0,0.0,329.0,2.0,1.0,524.0,26.0
32,904.0,2.0,2.0,5.0,2.0,1.0,0.0,925.0,0.0,0.0,371.0,22.0,6.0,0.0,0.0,323.0,1.0,1.0,546.0,25.0
33,902.0,2.0,2.0,5.0,2.0,1.0,0.0,918.0,0.0,0.0,354.0,20.0,5.0,0.0,0.0,316.0,1.0,1.0,566.0,24.0
34,904.0,2.0,2.0,4.0,2.0,1.0,0.0,908.0,0.0,0.0,342.0,19.0,4.0,0.0,0.0,306.0,1.0,1.0,585.0,21.0
35,915.0,2.0,2.0,4.0,1.0,0.0,0.0,915.0,0.0,0.0,332.0,18.0,4.0,0.0,0.0,287.0,1.0,1.0,629.0,20.0
36,927.0,1.0,2.0,4.0,1.0,0.0,0.0,911.0,0.0,0.0,316.0,15.0,4.0,0.0,0.0,271.0,1.0,1.0,655.0,19.0
37,911.0,1.0,2.0,3.0,1.0,0.0,0.0,907.0,0.0,0.0,301.0,14.0,4.0,0.0,0.0,262.0,1.0,1.0,686.0,15.0
38,912.0,1.0,2.0,3.0,1.0,0.0,0.0,916.0,0.0,0.0,279.0,14.0,3.0,0.0,0.0,250.0,1.0,1.0,714.0,15.0
39,941.0,0.0,2.0,3.0,1.0,0.0,0.0,917.0,0.0,0.0,259.0,15.0,3.0,0.0,0.0,240.0,1.0,1.0,712.0,14.0
40,940.0,0.0,2.0,2.0,1.0,0.0,0.0,921.0,0.0,0.0,239.0,14.0,2.0,0.0,0.0,227.0,1.0,1.0,728.0,13.0
41,941.0,0.0,2.0,2.0,1.0,0.0,0.0,935.0,0.0,0.0,224.0,14.0,2.0,0.0,0.0,216.0,1.0,1.0,731.0,12.0
42,954.0,0.0,94.0,2.0,69.0,0.0,0.0,924.0,0.0,0.0,214.0,14.0,2.0,0.0,0.0,197.0,0.0,1.0,748.0,12.0
43,963.0,0.0,173.0,2.0,144.0,0.0,0.0,940.0,0.0,0.0,194.0,14.0,2.0,0.0,0.0,188.0,0.0,1.0,754.0,11.0
44,936.0,0.0,233.0,1.0,238.0,2.0,0.0,947.0,0.0,0.0,188.0,13.0,1.0,0.0,0.0,178.0,0.0,1.0,757.0,11.0
45,935.0,0.0,311.0,1.0,306.0,2.0,6.0,943.0,0.0,0.0,175.0,13.0,0.0,0.0,0.0,166.0,0.0,1.0,756.0,21.0
46,956.0,0.0,362.0,1.0,375.0,2.0,14.0,941.0,0.0,0.0,176.0,13.0,0.0,0.0,0.0,164.0,0.0,1.0,748.0,27.0
47,956.0,0.0,420.0,1.0,423.0,2.0,17.0,957.0,0.0,0.0,178.0,12.0,0.0,0.0,0.0,176.0,0.0,1.0,742.0,32.0
48,980.0,0.0,482.0,1.0,469.0,2.0,22.0,950.0,0.0,0.0,195.0,11.0,0.0,0.0,0.0,196.0,0.0,1.0,737.0,38.0
49,974.0,0.0,548.0,1.0,509.0,2.0,32.0,944.0,0.0,1.0,219.0,10.0,0.0,0.0,0.0,207.0,0.0,1.0,725.0,40.0
50,985.0,0.0,593.0,1.0,549.0,2.0,36.0,965.0,0.0,1.0,235.0,10.0,0.0,0.0,0.0,221.0,0.0,1.0,709.0,40.0
51,994.0,0.0,645.0,1.0,579.0,1.0,37.0,976.0,0.0,1.0,247.0,10.0,0.0,0.0,0.0,230.0,0.0,1.0,704.0,35.0
52,985.0,1.0,673.0,1.0,601.0,0.0,36.0,980.0,0.0,1.0,259.0,11.0,0.0,0.0,0.0,243.0,0.0,1.0,688.0,33.0
53,980.0,1.0,690.0,1.0,613.0,0.0,39.0,990.0,0.0,1.0,254.0,10.0,0.0,0.0,0.0,241.0,0.0,1.0,700.0,32.0
54,1004.0,17.0,692.0,1.0,605.0,12.0,38.0,977.0,0.0,0.0,256.0,9.0,0.0,0.0,0.0,244.0,11.0,1.0,693.0,32.0
55,985.0,18.0,637.0,1.0,558.0,13.0,39.0,955.0,0.0,0.0,251.0,10.0,0.0,0.0,0.0,238.0,11.0,1.0,706.0,28.0
56,1001.0,17.0,594.0,1.0,505.0,12.0,43.0,934.0,0.0,0.0,242.0,9.0,0.0,0.0,0.0,247.0,11.0,1.0,693.0,26.0
57,997.0,16.0,545.0,1.0,457.0,11.0,43.0,939.0,0.0,0.0,245.0,8.0,0.0,0.0,0.0,246.0,11.0,1.0,703.0,26.0
58,988.0,15.0,494.0,0.0,417.0,8.0,45.0,943.0,0.0,0.0,244.0,8.0,0.0,0.0,0.0,237.0,11.0,1.0,693.0,26.0
59,1004.0,15.0,460.0,0.0,380.0,8.0,44.0,931.0,0.0,0.0,239.0,8.0,0.0,0.0,0.0,233.0,11.0,1.0,697.0,27.0
60,1012.0,13.0,428.0,0.0,358.0,8.0,44.0,943.0,0.0,0.0,225.0,9.0,0.0,0.0,0.0,225.0,11.0,1.0,716.0,25.0
61,1036.0,13.0,391.0,0.0,334.0,7.0,48.0,944.0,0.0,0.0,224.0,10.0,0.0,0.0,0.0,229.0,9.0,1.0,727.0,25.0
62,1038.0,10.0,370.0,0.0,310.0,7.0,49.0,939.0,0.0,0.0,228.0,10.0,0.0,0.0,0.0,228.0,9.0,1.0,737.0,24.0
